requested_tag,available
adaptive_policy_effective_buckets,True
adaptive_policy_effective_timesteps,True
adaptive_policy_entropy,True
adaptive_policy_max_over_uniform,True
adaptive_policy_max_prob,True
adaptive_policy_min_over_uniform,True
adaptive_policy_min_prob,True
ardm_grad_norm_raw,True
ardm_loss,True
aux_alignment_factor,True
aux_grad_cosine,True
aux_grad_norm_raw,True
aux_loss,True
cf_mid_delta,True
cf_mid_delta_baseline,True
cf_mid_drop_fraction,True
cf_mid_dropped_energy,True
cf_mid_harmful_weight_mean,True
cf_mid_loss,True
cf_mid_masked_ardm_loss,True
cf_mid_useful_weight_mean,True
cf_mid_utility_abs_mean,True
cf_mid_utility_max,True
cf_mid_utility_min,True
cf_mid_utility_pos_frac,True
constrained_mask_buckets,True
constrained_observed_mass_l1,True
curriculum_min_observed_fraction,True
disc_end_fake_logits,True
disc_end_grad_norm,True
disc_end_logit_abs_mean,True
disc_end_loss,True
disc_end_real_logits,True
disc_mid_fake_logits,True
disc_mid_grad_norm,True
disc_mid_logit_abs_mean,True
disc_mid_loss,True
disc_mid_real_logits,True
end_feature_cosine,True
eval_fid,True
eval_is_mean,True
eval_is_std,True
eval_nelbo,True
eval_ssim,True
fake_end_feature_norm,True
fake_mid_feature_norm,True
gen_end_loss,True
gen_mid_loss,True
grad_norm,True
guidance_progress,True
mid_feature_cosine,True
real_end_feature_norm,True
real_mid_feature_norm,True
reason_end_loss,True
reason_mid_loss,True
sampled_observed_fraction,True
sampled_observed_fraction_std,True
sampled_t_mean,True
sampled_t_std,True
stratified_t_enabled,True
train_ce,True
train_loss,True
train_nelbo,True
